מספר כתב יד,מדור ומדף,תיאור הכתב יד,"תגית: מקורי (בגוכתי""ק)",תגית: צילום/העתק,"תגית: אדמו""ר הזקן","תגית: אדמו""ר האמצעי",תגית: הצמח צדק,"תגית: אדמו""ר המהר""ש",תגית: סוג - דרושים,תגית: סוג - פנקסים,"תגית: אדמו""ר הרש""ב","תגית: אדמו""ר הריי""צ",תגית: קאפוסט,תגית: באברויסק,תגית: סטראשעלע,תגית: פאריטש,מספר עמודים
21,לד,"דרושי אדמו""ר הצ""צ על ספר בראשית  (העתק מבוך בראשית א') רלג,א: ע""כ בירך ה' את יום השבת 17*21 ס""מ. רלח דף.",,V,,,V,,V,,,,,,,,246
22,לד,"כנראה דרושי אדמו""ר מהרש""ז מקאפוסט ובסופו העתק ספר ה    חקירה מאת אדמו""ר הצ""צ 17*22 ס""מ. (1), קנו, (163) דף. על הכריכה: שייך להרה""ג שליט""א",,V,,,V,,V,,,,V,,,,320
23,לד,"דרושי אדמו""ר האמצעי 18*24 ס""מ. רלח דף.",,,,V,,,V,,,,,,,,262
24,לד,"דרושים מלוקט מ: אדמו""ר הזקן אדמו""ר הצ""צ ובניו פד,א-ב: תר""ד. 18*24 ס""מ. (10),קעד, כח-מה, קעה-שעט דף.",,,V,,V,,V,,,,,,,,409
25,לד,"ביכל ברובו מאמרי אדמו""ר הזקן וכמה מהם מדרושי אדמו""ר האמצעי אדמו""ר הצ""צ הרבה מהם משנת תקסג רפד דף נכרך בתוכו מאמרים יקרים (קנג""ב תרכ""ד) בדף רנח חותמת: יחיאל מיכל במ' יהושע",,,V,V,V,,V,,,,,,,,284
26,לד,"דרושי אדמו""ר הצ""צ סב,ב: ליובאוויטש         תר""ד בכ""מ רשום: תרה בסופו כמה דרושים מ: אדמו""ר הזקן 19*24 ס""מ. (1), קצט דף. בראש המפתח:"" חלק ב"" וכנראה שהוא הנזכר במס' 13. לה,ב: טיוטה של מכתב ה""ר שניאור לאביו ולאמו (ראה אודותו תיאור מס' (13. הי' בידי רח""א ביכאווסקי, ורשם בכ""מ אם נדפס.",,,V,,V,,V,,,,,,,,198
27,לד,"דרושי אדמו""ר הזקן אדמו""ר הצ""צ 17*11 ס""מ. צה דף",,,V,,V,,V,,,,,,,,106
28,לד,"""בוך ויקרא בשלימות, ועוד דרושים נכבדים ויקרים"" (כ""נ על דף המגן הקדמי). דרושי אדמו""ר הצ""צ ומאמרים אחדים מ: אדמו""ר הזקן אדמו""ר האמצעי 18*22 ס""מ. (3), תכט דף. כו-לג: כתיבה ספרדית.",,,V,V,V,,V,,,,,,,,0
29,לד,"דרושי הלל, הר""ה מפאריטש 18*22 ס""מ. (2), תלא דף.",,,,,,,V,,,,,,,V,428
30,לד,"דרושי אדמו""ר הצ""צ על נ""ך ודרושי: אדמו""ר מהרש""ז (?) בדף קנו,א:"" נכתב ומוגה שנת תרמ בין המצרים פה קאפוסט בדף רמז,א: חג השבועות תרמח 18*24 ס""מ. ער דף.",,,,,V,,V,,,,V,,,,270
31,לד,"דרושי אדמו""ר הצ""צ על ספר בראשית 19*27 ס""מ. בדף הראשון נרשם: מרדיכע שניער..שניארסאהן. גם נרשם ברוסית.",,,,,V,,V,,,,,,,,355
32,לד,"ביכל כולל מאמרי אדמו""ר הזקן אדמו""ר האמצעי אדמו""ר הצ""צ כולל: אגרות מאדמו""ר האמצעי. קצור תניא לאדמו""ר הצ""צ בעלים: שלמה ב""ר גרשון יהודא ליב קוהיל",,,V,V,V,,V,,,,,,,,403
33,לד,"דרושי אדמו""ר הצ""צ בסופו (דפים שפא- שצו) כמה ענינים בנגלה (ראה אודותם:"" יגדיל תורה"" חי""ז הערה (14. 17*21 ס""מ. שצו דף.",,,,,V,,V,,,,,,,,399
34,לד,"דרושים כנראה ל: אדמו""ר הזקן אדמו""ר האמצעי אדמו""ר הצ""צ 18*23 ס""מ. קטז דף. בדף המגן הקדמי: שייך להנגיד המפורסם מו""ה צבי הירש ליפשיץ מוויטעפסק ולע""ע איתן מושבו בק' באלטע עבר הנהר",,,V,V,V,,V,,,,,,,,117
35,לד,"דרושי אדמו""ר הזקן 12*20 ס""מ. קטו דף. בעלים: צבי פאייקין מדיסנא.",,,V,,,,V,,,,,,,,119
36,לד,"דרושי אדמו""ר הצ""צ 17*22 ס""מ. רל דף",,,,,V,,V,,,,,,,,235
37,לד,"רשימות על תהילים מ: אדמו""ר הצ""צ 19*24 ס""מ. (2), רצ דף. במפתח: כ""ק הר""ש בן כ""ק אדמו""ר נ""ע אמר לא' בריגע תרכה בשם כ""ק אביו מו""ר נ""ע השלך על ד' יהבך והוא יכלכלך שהש""י יעשה לך כלים והמ""י עד היכן מגיע בטחון. ובדף א,א: חנני ה' להשיג חיבור היקר הזה מכ""ק אדמו""ר כ' ק' שמו רמ""מ נ""ע בג""מ חיי עולם וחיי נפשנו קדוש וחסיד ועניו זצ""ל.",,,,,V,,,,,,,,,,295
38,לד,"דרושי אדמו""ר הזקן אדמו""ר הצ""צ 16*19.5 ס""מ. קנא דף.",,,V,,V,,V,,,,,,,,155
39,לד,"דרושי אדמו""ר הצ""צ 18*22 ס""מ. (4), תפז דף. בתחלתו: משה יהודה לייב..מו""ה יוסף בעינש זללה""ה זלמנזאהן. ובסופו: זה הספר קדש הקדשים שייך לר'..נין ונכד הרב מברדיטשוב.",,,,,V,,V,,,,,,,,498
