מספר כתב יד,מדור ומדף,תיאור הכתב יד,"תגית: מקורי (בגוכתי""ק)",תגית: צילום/העתק,"תגית: אדמו""ר הזקן","תגית: אדמו""ר האמצעי",תגית: הצמח צדק,"תגית: אדמו""ר המהר""ש",תגית: סוג - דרושים,תגית: סוג - פנקסים,"תגית: אדמו""ר הרש""ב","תגית: אדמו""ר הריי""צ",תגית: קאפוסט,תגית: באברויסק,תגית: סטראשעלע,תגית: פאריטש,מספר עמודים
736,לד,"דרושי אדמו""ר הזקן אדמו""ר הצ""צ 11*17 ס""מ. קעח דף. בעלים: דרייזין. להבין ענין - דריזין",,,V,,V,,V,,,,,,,,188
737,לד,"אדמו""ר הזקן דרושים על הסדר מהשנים תקסד-ו 10*15 ס""מ. דפים: כב-נב. נד-נה. נז-פג. פה-צא.",,,V,,,,V,,,,,,,,70
738,לד,"ריבקין, מנחם צבי אב""ד מנטשסטר ציונים בספר לקוטי אמרים תניא. 20*32 ס""מ. (20) דף.",,,,,,,,,,,,,,,0
739,לד,"הנחות מדרושי אדמו""ר הצ""צ העתק בוך בש""ו מס' 1063 ובתוס' מרובה בהמשכו כנראה שהוא בכת""י ה""ר דובער קאליסקער. ראה בוך                   .466 17*22 ס""מ. תט דף. בעלים (חותמת בכ""מ):מאיר אהרן קאליסקער שו""ב בה""ר דוב הלוי אשכנזי..במושבה..עקרן.",,V,,,V,,V,,,,,,,,423
740,לו,"""ספר החברים אגודת חסידי חב""ד דארצות הברית וקנדה, אדמו""ר ר' יוסף יצחק שניאורסאן שליט""א ליבוויטשער רבי נשיא, סניף                                 .""1 27*35 ס""מ. 300 ע' השמות נכתבו על הע'              .274-291 :292 בבקשה..הדרים בשכונה הזאת להכתב בספר החברים..לקיים ככל האמור בהתקנות..(חי""ק).",,,,,,,,,,,,,,,43
741,לד,"דרושי אדמו""ר הצ""צ 18*22 ס""מ. תשיח דף. בעלים: ניסן מינדל. תפול עליהם - מינדל נומר 11 - מינדל",,,,,V,,V,,,,,,,,706
742,לד,"מלוקט - דרושי אדמו""ר האמצעי אדמו""ר הצ""צ אדמו""ר מהרש""ז מקאפוסט 17*21 ס""מ. קיג דף. מג,א: רשימה של ר' ישראל אולער מ""ץ דבאבינאוויץ..פה קאפוסט                   תרמו",,,,V,V,,V,,,,V,,,,116
743,לד,"דרושי אדמו""ר הצ""צ 17*21 ס""מ. שלד דף בעלים: דובער לאדיער (אדמו""ר מהרי""ד) משה מרדכי. להבין ענין הברכות - אה""ק",,,,,V,,V,,,,,,,,332
744,לד,"דרושי אדמו""ר הזקן אדמו""ר האמצעי אדמו""ר הצ""צ הלל, הר""ה מפאריטש אגרות אדה""ז ואדהא""מ ועוד. 14*21 ס""מ. תקלד דף. בעלים: סקאבלא.",,,V,V,V,,V,,,,,,,V,530
745,לד,"דרושי אדמו""ר הצ""צ ואחדים מ: הלל, הר""ה מפאריטש 17*21 ס""מ. תרמח דף. בעלים: היילפרין ס,א - סד,ב: ביאור אוה""ח פ' אחרי מות מ: ליברמן, חיים משה מטשטשניק (?) קפה,א: ענין הנסירה, ליל ר""ה תקסו שפז,א: פורים וויטעפסק                 תקפד להבין ענין הברכות - היילפרין",,,,,V,,V,,,,,,,V,638
746,לד,"דרושי אדמו""ר הצ""צ 17*21 ס""מ. שי דף. הי' בידי הרח""א ביחאווסקי, ורשם בכ""מ אם נדפס. בעלים: שמואל הבר. בראשית - הבר",,,,,V,,V,,,,,,,,315
747,לד,"דרושי אדמו""ר מהר""ש אדמו""ר מהרש""ב 17*22 ס""מ. ו,פא דף. בעלים: גורעוויטש.  עסטולין. נו,א: מכתב אדמו""ר מהרש""ב עט,א: נוסח תנאים בין ישראל להקב""ה מהרה""ק לוי יצחק, הרה""ק מבארדיטשוב עח,ב: לה""א ר' נחום תומרקין בעיר האמעל.",,,,,,V,V,,V,,,,,,77
748,לד,"דרושי אדמו""ר הצ""צ 17*21 ס""מ. דפים: ער-תקטז בעלים: גורעוויטש.   עסטולין.",,,,,V,,V,,,,,,,,242
749,לד,"כנראה דרושי: אדמו""ר הזקן 17.5*22 ס""מ. פד דף. בעלים: גורעוויטש.   עסטולין.",,,V,,,,V,,,,,,,,93
750,לד,"כולל: תניא - מהדו""ק, וכן אגה""ת מהדו""ק, כנ""ל    .268 דרושי ואגרות קודש מ: אדמו""ר הזקן ודרושים אחדים ל: אדמו""ר האמצעי אדמו""ר הצ""צ 18*22 ס""מ. דפים: ב. יג-טז. לג-נה. טז בעלים: ברוק. תניא - ברוק",,,V,V,V,,V,,,,,,,,151
751,לד,"דרושי אדמו""ר הצ""צ * ותשו' א' בגוכתי""ק. 18*23 ס""מ. קעב דף. בתחלתו (בדף בפ""ע) מפתח בגוכתי""ק כ""ק אדמו""ר שליט""א. נכרכו בו דפים השייכים לבוך תרטו""ב (1065) ודפים מבוך חמש מגילות. על דף הכריכה מבפנים: מתנה לכ""ק אדמו""ר חותני שליט""א ע""י חתנו שמרי' גורארי'. כל המשמח - לאגער",V,,,,V,,V,,,,,,,,172
752,לד,"דרושי אדמו""ר הצ""צ * 17*23 ס""מ. רמו דף. על השער (שנעתק): תרכב בדף שלאחר עב: גוכתי""ק הצ""צ (קטע הנדפס בפס""ד). קנט,א: בד קודש אדמו""ר האמצעי בעלים: לוי יצחק ב""ר אברהם קאפיל להבין ענין הברכות",,,,V,V,,V,,,,,,,,253
753,לד,"דרושי אדמו""ר הצ""צ 18*22 ס""מ. רצה דף. מא,ב: מכתב פינחס הרה""ק מקארעץ אל מו""ה ישעי' מדונאוויץ רנה,ב: הגהתי היום.. וויטעפסק                 תרא נאום צבי הירש ש""ץ. בעלים: משה בנימין מלמד. לוי אהרן חן המ""ץ דארשע. אליהו סימפסאן. ש.ב. גארדאן. נקרא: ורחל היתה -סימפסאן",,,,,V,,V,,,,,,,,299
754,לד,"מלוקט - דרושי אדמו""ר האמצעי אדמו""ר הצ""צ אדמו""ר מהר""ש אדמו""ר מהרש""ב חלקו מימיוגרף. 19*22.5 ס""מ. תיח דף. בעלים: ששונקין שמרי' נחום. מי חכם - ששונקין",,,,V,V,V,V,,V,,,,,,283
755,לד,"דרושי אדמו""ר הצ""צ כו""כ משנת תקצ""ה 17*22.5 ס""מ. דפים קמח-שכג.",,,,,V,,V,,,,,,,,173
756,לד,"מלוקט - דרושי אדמו""ר הזקן אדמו""ר האמצעי אדמו""ר הצ""צ אדמו""ר מהר""ש הלל, הר""ה מפאריטש ועוד. מכתבי אדה""ז, הצ""צ ועוד. ענין ההשתטחות, קונ' ההתפעלות וההתבוננות. אגה""ת מהדו""ק. צוואות הצ""צ ומהר""ש. 17.5*22 ס""מ. רפו דף. (חסר כב-סד). בעלים: שמרי' נחום ששונקין. הי' בידי הרח""א ביחאווסקי וציין מה שנדפס.",,,V,V,V,V,V,,,,,,,V,240
757,לד,"דרושי אדמו""ר הזקן 16*21 ס""מ. צא דף. בעלים: ש.ל. פרוס. להבין שורש התוהמ""צ - פרוס",,,V,,,,V,,,,,,,,92
758,טו,"וואהרמאן, אברהם דוד מבוטשאטש הגהות לחו""מ, נחלק לאותיות [כמה מאות אותיות שנסמנו בין מא-א'תתקפו (כנראה שנעתקו מחיבורו שכלל כ2000- אותיות בד""ח שו""ע), ולאח""ז אותיות א-תתקא]. נכתבו כנראה ע""י נכד המחבר ה""ר וואהרמאן, ארי' ליב שהדפיס הנ""ל בשם: כסף הקדשים בתחלתו בא מפתח - לפי סדר השו""ע ולאח""ז ""מפתח ההשמטות"" - הכולל רסט אותיות (לא נדפסו בחיבור הנ""ל). בסופו: (1 העתק מהסידור נהורא..שנדפס בסופו דברים אחדים מאא""ז..אבדק""ק בוטשאטש ..ובזמנים הללו השמיטום המדפיסים ע""כ העתקתי..למשמרת. ""(2 בני ה""ה הרבני מ' ישראל ארי' ליב יצ""ו הראה לי.."" (כנראה שהוא העתק מהרא""ד, וכתב זה על בנו הריא""ל) (3 תנאים מהרא""ד עבור בנו צבי הירש. ""(4 העתק צוואת אביו הזקן..אברהם..בשנת ת""ח..רבא הנה ק""ק נדבורנא.."" 17*21 ס""מ.(93)1 דף. בשוה""ג נסמנו הגליונות. השוה מס' 759,             .760",,V,V,,,,,,,,,,,,163
759,טו,"וואהרמאן, אברהם דוד מבוטשאטש הגהות לשו""ע, בכת""י הנ""ל במס' 758. וכולל ג' גליונות נפרדים: (1 הל' מליחה (חלקו נדפס ב""דעת קדושים"", ונסמן בכל קטע אם נדפס). (2 לקוטים מחידושי פרי מגדים,פתיחה להל' שחיטה (חסר בסופו, ונמצא כג סעיפים). (3 גליון בן 2 דפים, עם כמה קטעים בלתי מסומנים. 17*21 ס""מ. 2,8,16 דף בראש הגליון השני חותמת: ישראל ליב וארמאן",,,,,,,,,,,,,,,30
760,טו,"וואהרמאן, אברהם דוד מבוטשאטש הגהות לשו""ע, בכת""י הנ""ל מס' 758. וכולל תקפט אותיות (רק אחדים מהם נדפסו בחיבוריו אשל אברהם על או""ח דעת קדושים על יו""ד עזר מקודש על אה""ע כסף הקדשים על חו""מ). בסופו 10) דפים): השמטות דעת קדושים (לא נדפסו בהשמטות שבסוף ס' הנ""ל). 2) דפים): חי' לפסחים דף ט'. 17*21 ס""מ. (120) דף. בשוה""ג נסמנו הגליונות.",,,,,,,,,,,,,,,122
761,יח,"לעווין, ישראל יצחק לשון השער: קבוצת מכתבים אשר נשאתי ונתתי בדברי תורה עם..מוהר""ר שלמה פריידעש הי""ו רב בלאדי. מאתי..ישראל יצחק ב""ר יוסף שמעון הלוי לעווין..קריצבערג. (הרש""פ הוא מח""ס כרם חמד, והריי""ל הוא מח""ס שרש ישי שבמס' 762 דלהלן). 18*22 ס""מ. 75 ע'. במשך השנים תרנ""ו-תרנ""ט.",,,,,,,,,,,,,,,39
762,ו,"שרש ישי לעווין, ישראל יצחק לשון השער"" בעזה""י מס' נדה התחלנו ז""ך אלול תרנ""ד וסיימנו ר""ח טבת שנת תרנה"" לאחר החי' למס' נדה:"" בעזה""י אתחיל מס' כריתות"" שרש ישי הנדפס הוא רק לס' טהרות) 11.5*18 ס""מ. 14,26 ע'.",,,,,,,,,,,,,,,22
763,ו,"מלמד שיח יעקב ב""ר ארי' ליב לשון השער (על הכריכה מבפנים): מלמד שיח להורות..דברי הק' יעקב בן מ""ה ארי' ליב ז""ל..מגזע בית דוד"" (ראה אודותו בס' תואר פני שלמה ע' (24. וכולל חי' למס' פסחים, ביצה, שבת, עירובין, גיטין, כתובות, שבועות, יבמות, ב""מ וב""ב 16.5*19 ס""מ. קמג דף. כז,ב:"" ולפירוש זה במהרש""א כוונתי זה מח' שנים בפיורדא כשבאתי שם ללמוד תורה אצל הגאון החסיד מ""ה צבי הירש ז""ל אב""ד דשמה ..בית יעקב לפ""ק"" תקצד",,,,,,,,,,,,,,,60
764,כג,"פלפולים מסודרים על פרשיות השנה, שנכתבו בין השנים תקי""ז - תק""ם (בעיר שוואב ?). בראש כל קטע:"" ב""ה מחודשים שלי לפ'..ישוב ..תק.."";ובכ""מ:"" לא נאמר פה בשבת"". 17*20 ס""מ. קסו דף. קס,ב: מחודשים שלי..תקכ""ב..עיין לקמן דף קסו ע""ב ישוב אחר..שלמדתי שנת תק""ם לפ""ק (בשוואב?)"" אולי ר' יהושע העשיל"" כרם שלמה"" שנה ב' קונ' ה' ע' ח'.",,,,,,,,,,,,,,,163
765,ז,"חידושים למס' ב""ב, ע""א ומקואות, והוא לקוט מדברי הפוסקים ע""ס המס'. כתיבה אשכנזית רהוטה, שנכתב, כנראה בא' מעירות אשכנז לערך בשנת ת""ק. 16*20 ס""מ. (140) דף. בדף המגן הקדמי, כמה רישומים: וואנסבעק. קאפפענהאגען. זה הספר לרבי המופלג והמופ' כ""ה שלמה מסאטיר נר""ו.",,,,,,,,,,,,,,,135
766,,"יסודי המשנה ושיקול הדעת: אם טעו בהם הדיינים..ובכללם הם כ""ב מיני דיינים ... ועלינו לברר כל הפרטים כיד ה' הטובה עלינו לעוו, בנימין וואלף אב""ד קעלין בעל מחבר ספרי שערי תורה 17*21 ס""מ. רעג דף.",,,,,,,,,,,,,,,281
767,יז,"פלאטקין, ארי' ליב העתקת קטעי תשובות בענינים שונים. בסופו רשימת ספרים ע""ס א""ב (ספרייתו עברה לכאן). 19*24 ס""מ. (125) דף.",,V,,,,,,,,,,,,,134
768,כח,"דרך הקדש יחיאל צבי במהר""מ יבאר יסודי דת..והשטה הנכונה בענין האלהות והעולם..מאת הרב המאה""ג כמהור""ר יחיאל צבי במהר""מ..בק""ק יאס יע""א. ונחלק לג""ח: מאמר האלהות והעולם; מאמר ההשגחה ומעשה איש; מאמר התורה והמצוה. (כנראה הוא הנדפס בברלין תרל""ב). 18*22 ס""מ. פד דף.",,,,,,,V,,,,,,,,79
769,לד,"דרושי אדמו""ר הצ""צ 18*22 ס""מ דש דף. בעלים: שמואל גרונם אסתרמאן. ענין פסח ומצה - גרונם",,,,,V,,V,,,,,,,,298
770,לד,"דרושי אדמו""ר הצ""צ 18*21 ס""מ. קפז דף. בדף המגן הקדמי: ב""ה ר""ח מנ""א תרפ""ה קניתי מספרי הרה""ח ר' אברהם משה ז""ל מיאסי.זלמן בעזפאלאוו בראילא. המפתח - בגוכתי""ק אדמו""ר שליט""א. כי ידעתיו - בעזפאלאוו",V,,,,V,,V,,,,,,,,192
771,כב,"אגודת אזוב ליפשיץ, זוסמאן אבא ב""ר יהושע יצחק דרושים על תורה ומדרשים ואגדות חז""ל בתלמוד בבלי וירושלמי ועוד ועוד, קרוב לפשט. כולל קיג סימנים. 16*21 ס""מ. (4),קטו דף. בהקדמה: ומה' מצעדי גבר כוננו, והוכרחתי להיות נודד..לפה ארץ החפשית (אמריקא) מכמה הרפתקאות דעדו עלי. קי,א: גמרתי בע""ה הגהת ספרי הנוכחי ביום פורים שנת תרעט קיד,ב: בשו""ע אדמו""ר נ""ע..דברתי נידון זה עם ידידי המופ' י""א ונשוא פנים וכו' מהר""ר מרדכי ליפא נ""י הממונה על אסיפת מעות א""י לכולל חב""ד. השוה                              .772-3",,,,,,,V,,,,,,,,123
772,ד,"מרכבת המשנה ליפשיץ, זוסמאן אבא ב""ר יהושע יצחק רב ושו""ב דפה מאקייעווקע. (נדפס בס. לואיס תר""פ). לפרש המשניות באיזהו מקומן ע""ד המוסר 16*21 ס""מ. (2), נה, כ-כו, יט דף. (הדפים שלאחר נה, שייכים לספרו אגדת אזוב מס' 771 .( בדף המגן האחורי: לד' הארץ ומלואה שייך לזוסמאן אבא שו""ב ליפשיץ, בע""ה יום ג' אדר""ח אדר ראשון שנת תרנ""ד לפ""ק פה מאקייעווקע. השוה: 773.                          .771",,,,,,,,,,,,,,,79
773,טו,"תולדות יצחק ליפשיץ, זוסמאן אבא ב""ר יהושע יצחק ""צוהר התבה, שער ראשון מספר תולדות יצחק הלכות שחיטה ע""פ דעת התב""ש מרומז בפרשה ויקרא צו שמיני, עם ביאור"" =)ההל' מבוארות בסגנון שר""ת שלהם הם תיבות פר' הנ""ל. ""שער השני מספר תולדות יצחק, דיני בדיקת הריאה עפ""ד התב""ש, מרומז בתורה"". (שער שלישי)"" רמזי תרי""ג מצות"" (כל מצוה בר""ת תיבת בראשית). 18*23 ס""מ. עה, לו, ז דף. (לאח""ז נכרכו דפים כז-לז (בטעות נכרך דף לז - לפני כז) השייכים לספרו אגודת אזוב שבסוף מס' 772. כרך שני - שהעתיק המחבר מחדש את הספר עם תיקונים ושינויים: נט, כה דף.",,,,,,,,,,,,,,,245
774,לה,"שו""ת וחידושים. חלקם מ: אדמו""ר הצ""צ ונדפס בספריו. תשובה אחת (אחרונה) מ: אדמו""ר מהרי""ן מניעזשין בסופה:העתקתי מכת""י דודי הגאון מהרי""ן שי' 16*21 ס""מ. כה-לד,,(52) לה-סב, (138) דף.",,V,,,V,,,,,,,,,,224
775,יז,"וואלדמאן, יעקב צבי הירש אבד""ק בארשא שו""ת (בתחלתו כמה דרושים ע""ד ההלכה). ""כתב ידו של מרן הה""ק הצ' אלעזר אלימלך וואלדמאן שליט""א"" (הוא נכדו של הריצ""ה). בכ""מ"" ע""כ מצאתי מכי""ק זקני מו""ר הגאון המניח זצ""ל זיע""א. אלעזר אלימלך"". אבל תשובות רבות הם בגוכת""י המחבר. התשובות הם מהשנים תרטו-תרמג 17*22 ס""מ. (452) דף.",V,,,,,,V,,,,,,,,487
776,לד,"דרושי אדמו""ר מהר""ש אדמו""ר מהרחש""ז מלאדי וביאור הלל, הר""ה מפאריטש לקונ' ההתפעלות. 17*22 ס""מ. 233 - 40) חלק) דף. ע""י א.ח. גליצנשטיין.",,,,,,V,V,,,,,,,V,238
777,טו,"חבורי מנחם מנחם מנלין ב""ר אורי פייבל מן באירום הלכות טרפות. בקולופון: תם ונשלם יום ג' בטו""ב לחודש אלול בשנת סגולת תצט לאח""ז העתק מס' ימין משה (אמ""ד תע""ח). 9*15 ס""מ. (131) דף.",,V,,,,,,,,,,,,,208
778,קד,"לאוואוט, אברהם דוד אוטוגרף. לוח השוואות חדשי החמה לחדשי הלבנה מהשנים תקס""ח - תרנ""ו. 8 דף. נכרך עם לוח על אלף השישי (ירושלם תרכ""ז).",,,,,,,,,,,,,,,9
779,לח,"סידור האריז""ל כתיבה אשכנזית רהוטה. 15*17 ס""מ. (חסר בתחלתו וסופו,ונמצא) דפים: כו-רמח. בעלים: ראזענפעלד יוסף חיים.",,,,,,,,,,,,,,,242
780,לד,"דרושי אדמו""ר הצ""צ 10.5*17 ס""מ. רכד דף. בעלים: קאזלינער.",,,,,V,,V,,,,,,,,223
781,לד,"תורת חיים אדמו""ר האמצעי דרושים לס' שמות בכת""י הר""ש סופר (הנדפס הוא צילום בוך זה). בדף המגן הקדמי, בכתי""ק אדמו""ר שליט""א: דרושי אדהאמ""צ ונעתקו מביכל כתבים של ה""רצ""ה"" - ר' הירש דער שוחט [כ""ק מו""ח אד""ש]"" - והכונה לבוך מס' 1085 דלקמן. 17*22 ס""מ. תרסט דף. (נחלק לב' כרכים)",,V,,V,,,V,,,,,,,,329
782,לד,"תורת חיים אדמו""ר האמצעי דרושים לס' שמות בכת""י הר""ש סופר (הנדפס הוא צילום בוך זה). בדף המגן הקדמי, בכתי""ק אדמו""ר שליט""א: דרושי אדהאמ""צ ונעתקו מביכל כתבים של ה""רצ""ה"" - ר' הירש דער שוחט [כ""ק מו""ח אד""ש]"" - והכונה לבוך מס' 1085 דלקמן. 17*22 ס""מ. תרסט דף. (נחלק לב' כרכים)",,V,,V,,,V,,,,,,,,343
783,ל,"עץ חיים או אוצרות חיים בנוסח הנדפס בקארעץ תקמ""ג (ד, ג ואילך) כתיבה אשכנזית רהוטה. עם הגהות מהרנ""ש (אבל בלי רוב הגהות שבקול הרמ""ז ואחרים) 18.5*15 ס""מ. ד-קפב דף. על דף המגן הקדמי מבפנים מספר רישומים מאחרי שנת תקע""ח, אך אולי אינם להמעתיק.",,,,,,,,,,,,,,,178
784,ל,"חסד לאברהם אזולאי, אברהם כתיבה אשכנזית רהוטה. בראשו - מפתח המעינות והנהרות. ובסופו - סדר חליצה, וכמה מדרושי האריז""ל. בכ""מ - הגהות עה""ג, שאינן בהנדפס. 16*19 ס""מ. רלט דף.",,,,,,,V,,,,,,,,248
785,לד,"דרושי אדמו""ר מהרש""ב 18*22 ס""מ. רסח דף בעלים (חרות על הכריכה): רש""א קזרנובסקי. הוחזר לבעליו.",,,,,,,V,,V,,,,,,243
786,לד,"דרושי אדמו""ר הצ""צ ובסופו - דרוש אחד מהרה""ק משה בן אדמו""ר הזקן ד""ה למען תזכור. 10.5*17 ס""מ. ריח דף.",,,V,,V,,V,,,,,,,,218
787,לד,"כתב יד הרב ריבלין, אליהו יוסף כולל: ח דפין ביאור על מאמר ד""ה ויאכילך את המן שבלקו""ת עקב. 2 דף מאמר מי מנה עפר יעקב -נדפס באוה""ת במדבר ח""ג ע' תתקנא- ועוד דף בענין לפני עור 18.5X11 ס""מ ועוד 4 דף ביאורים קצרים בדא""ח בגודל 6*9 ס""מ.",,,,,,,V,,,,,,,,20
788,לד,"דרושי אדמו""ר הזקן אדמו""ר הצ""צ כת""י כמה מעתיקים. כמה דרושים - בכת""י מהרא""י ריבלין. ובמקומות רבים - הגהות שלו על הגליון 18*22.5 ס""מ. רכג דף המפתח בדף קפט. קצ,א: השגתי אצל מ""ר יוסף יהודה בכור שמערלינג.",,,V,,V,,V,,,,,,,,213
789,לד,"דרושי אדמו""ר הצ""צ ובסופו פס""ד וחידושים - לא נודע למי [במ""א (בענעתק משם ביגדי""ת חי""ד סל""ו) מזכיר את אדה""ז בשם"" מוהר""ז מלאדי זצ""ל"" וא""כ נראה לכאו' שאינו מחב""ד]. כת""י מעתיק (גם הפס""ד בכת""י מעתיק זה). 17.5*21.5 ס""מ. קצח דף. בעלים: קליין. עה,א:"" סדר התשובה של אדמו""ר מ""מ נבג""מ זיע""א"" - והוא אגה""ת מהדו""ק של אדמו""ר הזקן בשינוי לשון קצת. קלט,א ואילך פס""ד הנ""ל. דרושים אחדים הם לאדה""ז ו: אדמו""ר האמצעי ונשב בגיא -קליין",,,V,V,V,,V,,,,,,,,198
790,לד,"דרושי אדמו""ר הצ""צ 10*16 ס""מ. קלד דף. המפתח בסופו. בעלים: יעקב כ""ץ סת""ם. כז,א: כללים ושאלות מה ששאל: אדמו""ר הזקן מן אדמו""ר ממעזריטש ומה שהשיב לו. לו,ב: כוונת המקוה מ: ישראל, הבעש""ט צא,ב: בשם הבעש""ט נ""ע. (ובמפתח: מכ""ק.. ר' הלל סג""ל ליקוטים) הלל, הר""ה מפאריטש ע""י ר' פינחס טייץ.",,,V,,V,,V,,,,,,,V,131
791,לד,"דרושי אדמו""ר הצ""צ ואחדים מ: אדמו""ר הזקן בכ""מ נרשם בראש הדרוש התאריך, ונמחק לאח""ז 10*16 ס""מ. קפ דף. בעלים: גינזבורג יצחק פייביש",,,V,,V,,V,,,,,,,,164
792,לד,"דרושי אדמו""ר מהרש""ב תרמג-תרסח 17*22 ס""מ. שמג דף. בעלים: סאגאליעוויץ שמואל.",,,,,,,V,,V,,,,,,297
793,טו,"איי הים עד""ל, יהודה ליב הלוי ""איי הים חטי מנית בו יבואר דיני מו""מ.. טענו חטים והודה לו בשעורים.. תתחלק לשתי חלוקות..חלב חטים..כליות חטה..נכתב בשנת ז'ה' י'ה'י'ה' ח'ט'י מ'נ'י'ת'           = תקסט בע' האחרון מציין לכמה דרושים שבספרו אפיקי יהודה. 19*22.5 ס""מ. דפים: רכ-רלב.",,,,,,,V,,,,,,,,13
794,לד,"דרושי אדמו""ר הצ""צ ובניו. בסופו באור על אוה""ח פ' אחרי ל: ליברמן, חיים משה מטשאשניק (?) - במפתח: ונ' שהוא מהרב הג' ר' אייזיק מהאמי' זי""ע עפשטיין, יצחק אייזיק מהאמיל 17*21 ס""מ. רפד דף. על דף המגן מבפנים: מעזבון המנוח הר""ר יצחק בה""ר רש""ז חן ז""ל. בכ""מ החותמות: ישיבת תורת אמת. מנחם חן-טוב.    מנחם מענדל הלל גאנזבורג.",,,,,V,,V,,,,,,,,279
795,לד,"דרושי, שיחות ומכתבי אדמו""ר מהרש""ב חציו השני - דרושי אדמו""ר מהריי""צ רובם במימיוגרף או דפוס. 18*22 ס""מ. (250),סח-רצט דף. בעלים: רש""א קזרנובסקי בתחלתו נכרכו: דרוש מ: אדמו""ר מהר""ש תשובה מה""ר אלי' מאיר פייווילזאהן מקופישק מכתב מה""ר שמעון בלינער. בו גם מאמר איתא במדרש תילים עם תיקונים בגוכתי""ק אדמו""ר זי""ע",V,,,,,V,V,,V,V,,,,,208
796,לד,"דרושי אדמו""ר מהר""ש תרלה 17.5*21 ס""מ. רי דף. בעלים: מנחם חן-טוב. מנחם מענדל הלל גאנזבורג.",,,,,,V,V,,,,,,,,208
797,לד,"דרושי אדמו""ר הזקן 11*17 ס""מ. רנד דף. רנד,א: מכתב מ: פינחס, הרה""ק מקארעץ בעלים: קליין. על הכריכה הקדמית מבפנים, כמה רישומים מטושטשים:"" זה כתבי קודש שייך לר' אליעזר ראבואין (?) מחצר יאסיקווע (?)""."" הנחתי ביכעל שלי נומר ד' אצל נכד אדומו""ר שניאור זלמן וקבלתי ממנו ביכעל הזה שיהי' בידי עד שיביא לי ביכעל שלי. שמרי' זוקעווער"". להבין ענין אוא""ס - קליין",,,V,,,,V,,,,,,,,207
798,לד,"""כתבי קדש מאדמו""ר שליט""א, בשנת תרכ""ו לפ""ק ""1865. כולל דרושי אדמו""ר הצ""צ תרכו ודרושים ומכתבים אחדים מ: אדמו""ר הזקן מכתב מ: אדמו""ר האמצעי ומכתב אהרן, הר""א מסטראשעלא 17*22 ס""מ. רצט דף. בעלים: רפאל ב""ר צבי ליפמאן. ח.מ. ליברמאן",,,V,V,V,,V,,,,,,,,299
799,לד,"דרושים (ובסופו כמה שיחות) לא' מנכדי הצ""צ מהשנים תרמ""ב-תרע""ג; עכ""פ חלקו מ: אדמו""ר מהרש""ב 17*22 ס""מ. רח דף. בעלים: מנחם חן-טוב. מנחם מענדל הלל גאנזבורג. רה,א: נוסח תנאים בין ישראל להקב""ה מאת: לוי יצחק, הרה""ק מבארדיטשוב",,,,,V,,V,,V,,,,,,203
800,לד,"דרושי אדמו""ר מהרש""ב תרמג-תרסח חלקו מימיוגרף. 17*22 ס""מ. רעג דף. בעלים: זלצמן י.י. בשולי גליון האחרון: הנני נותן ד""ג להנכבד ..מו""ה שילם מעיר צירנען, החותן דוד ליב גאלד מעיר אזאריץ.",,,,,,,V,,V,,,,,,229
801,לד,צילום בוך                          .1780,,V,,,,,,,,,,,,,0
802,לד,"צילום כת""י מאנטשעסטער 1342. כולל דרושי אדמו""ר הצ""צ ע""ס בראשית שמות מג""א. רפ דף. בעלים: מנחם יוסף רובינסאן מ""ץ דרודניא. חיים ישעי' ברלין.",,V,,,V,,V,,,,,,,,0
803,לד,"צילום כת""י מאנ. 1343. כולל דרושי אדמו""ר הצ""צ תיב דף.",,V,,,V,,V,,,,,,,,0
804,לד,"צילום כת""י                         .1344 מלוקט, בעיקרו דרושי אדמו""ר הצ""צ 17*21 ס""מ. מיספור חדש (על הצילום) שלא דף ע""י זלצמן",,V,,,V,,V,,,,,,,,0
805,לד,"צילום כת""י מאנ. 1345. דרושי אדמו""ר הצ""צ תרנא ע'.",,V,,,V,,V,,,,,,,,0
806,לד,"צילום כת""י מאנ. 1346. כולל דרושי: אדמו""ר הצ""צ אדמו""ר מהר""ש שנו דף.",,V,,,V,V,V,,,,,,,,0
807,לד,"צילום כת""י מאנ. 1347. כנראה דרושי אדמו""ר מהרחש""ז מלאדי אדמו""ר מהרי""ד מלאדי כ400- דפים בלתי מסומנים.",,V,,,,,V,,,,,,,,0
808,לד,"צילום כת""י מאנ. 1348. דרושי אדמו""ר הצ""צ כ300- דפים.",,V,,,V,,V,,,,,,,,0
809,לד,"צילום כת""י מאנ. 1349. דרושי אדמו""ר מהר""ש ועוד. שעז דף. בעלים: אהרן ליפשיץ. חיים יעקב בהרשב""ץ רש""ל.",,V,,,,V,V,,,,,,,,0
810,לד,"צילום כת""י מאנ. 1350. דרושי אדמו""ר מהר""ש 371 דף. בעלים: רח""י בהרשב""ץ רש""ל מוועליז.",,V,,,,V,V,,,,,,,,0
811,לד,"צילום כת""י מאנ. 1351. דרושי אדמו""ר האמצעי רז דף.",,V,,V,,,V,,,,,,,,0
812,לד,"צילום כת""י מאנ. 1352. כולל דרושי אדמו""ר הצ""צ פסקי דינים אדמו""ר האמצעי על שו""ע אבן העזר סי' קיט-קלד, קמא ותשובה ארוכה בגוכת""י (בעל כתה""י) חן, דוד צבי 165 דף.",,V,,V,V,,V,,,,,,,,0
